,room,date_x,Sede,aulaId,aulaDes,capienza,poloDes,bookings
0,5f5bd5fafc7a3450ea06e81c,2020-11-08 17:10:20.328000+00:00,1,,112,11,26,26
1,5f5bd5fafc7a3450ea06e81c,2020-11-09 08:18:33.344000+00:00,1,,112,11,26,38
2,5f5bd5fafc7a3450ea06e81c,2020-11-12 07:45:37.079000+00:00,1,,112,11,26,21
3,5f5bd5fafc7a3450ea06e81c,2020-11-12 09:00:15.960000+00:00,1,,112,11,26,31
4,5f5bd5fafc7a3450ea06e81c,2020-11-13 07:55:08.231000+00:00,1,,112,11,26,23
5,5f5bd5fafc7a3450ea06e81c,2020-11-16 17:14:14.412000+00:00,1,,112,11,26,19
6,5f5bd5fafc7a3450ea06e81c,2020-11-16 22:24:16.572000+00:00,1,,112,11,26,32
7,5f5bd5fafc7a3450ea06e81c,2020-11-19 06:15:15.270000+00:00,1,,112,11,26,33
8,5f5bd5fafc7a3450ea06e81c,2020-11-20 15:40:45.645000+00:00,1,,112,11,26,28
9,5f5bd5fafc7a3450ea06e81c,2020-11-23 07:42:15.551000+00:00,1,,112,11,26,14
10,5f5bd5fafc7a3450ea06e81c,2020-11-23 07:42:29.621000+00:00,1,,112,11,26,16
11,5f5bd5fafc7a3450ea06e81c,2020-11-25 03:39:17.367000+00:00,1,,112,11,26,17
12,5f5bd5fafc7a3450ea06e81c,2020-11-26 08:32:06.568000+00:00,1,,112,11,26,9
13,5f5bd5fafc7a3450ea06e81c,2020-11-27 08:48:54.945000+00:00,1,,112,11,26,23
14,5f5bd5fafc7a3450ea06e81c,2020-11-30 10:58:20.879000+00:00,1,,112,11,26,17
15,5f5bd5fafc7a3450ea06e81c,2020-12-01 15:50:43.533000+00:00,1,,112,11,26,6
16,5f5bd5fafc7a3450ea06e81c,2020-12-02 08:45:37.141000+00:00,1,,112,11,26,16
17,5f5bd5fafc7a3450ea06e81c,2020-12-03 18:48:25.686000+00:00,1,,112,11,26,14
18,5f5bd5fafc7a3450ea06e81c,2020-12-03 21:10:31.627000+00:00,1,,112,11,26,6
19,5f5bd5fafc7a3450ea06e81c,2020-12-07 06:51:21.016000+00:00,1,,112,11,26,14
20,5f5bd5fafc7a3450ea06e81c,2020-12-07 06:51:38.459000+00:00,1,,112,11,26,13
21,5f5bd5fafc7a3450ea06e81c,2020-12-08 09:46:57.482000+00:00,1,,112,11,26,1
22,5f5bd5fafc7a3450ea06e81c,2020-12-10 20:49:21.465000+00:00,1,,112,11,26,14
23,5f5bd5fafc7a3450ea06e81c,2020-12-13 14:04:17.301000+00:00,1,,112,11,26,19
24,5f5bd5fafc7a3450ea06e81c,2020-12-14 07:49:38.170000+00:00,1,,112,11,26,22
25,5f5bd5fafc7a3450ea06e81c,2020-12-15 09:24:59.995000+00:00,1,,112,11,26,0
26,5f5bd5fafc7a3450ea06e81c,2020-12-15 19:55:51.692000+00:00,1,,112,11,26,16
27,5f5bd5fafc7a3450ea06e81c,2020-12-16 10:11:15.110000+00:00,1,,112,11,26,8
28,5f5bd5fafc7a3450ea06e81c,2020-12-17 23:49:53.151000+00:00,1,,112,11,26,4
29,5f5bd5fafc7a3450ea06e81c,2020-12-21 00:20:59.897000+00:00,1,,112,11,26,4
30,5f5cc739fc7a3450ea06e838,2020-11-08 20:47:29.186000+00:00,1,,115,10,10,1
31,5f5cc739fc7a3450ea06e838,2020-11-09 16:44:39.238000+00:00,1,,115,10,10,2
32,5f5cc739fc7a3450ea06e838,2020-11-15 10:41:16.618000+00:00,1,,115,10,10,4
33,5f5cc739fc7a3450ea06e838,2020-11-16 22:27:59.525000+00:00,1,,115,10,10,3
34,5f5cc739fc7a3450ea06e838,2020-11-19 13:50:14.542000+00:00,1,,115,10,10,1
35,5f5cc739fc7a3450ea06e838,2020-11-23 20:20:14.891000+00:00,1,,115,10,10,8
36,5f5cc739fc7a3450ea06e838,2020-11-25 23:26:34.811000+00:00,1,,115,10,10,6
37,5f5cc739fc7a3450ea06e838,2020-11-29 18:46:49.288000+00:00,1,,115,10,10,2
38,5f5cc739fc7a3450ea06e838,2020-12-01 11:50:58.044000+00:00,1,,115,10,10,2
39,5f5cc739fc7a3450ea06e838,2020-12-01 20:50:23.691000+00:00,1,,115,10,10,1
40,5f5cc739fc7a3450ea06e838,2020-12-03 10:24:41.857000+00:00,1,,115,10,10,1
41,5f5cc739fc7a3450ea06e838,2020-12-03 20:38:08.253000+00:00,1,,115,10,10,2
42,5f5cc739fc7a3450ea06e838,2020-12-13 21:22:03.629000+00:00,1,,115,10,10,2
43,5f5cc739fc7a3450ea06e838,2020-12-15 12:33:43.137000+00:00,1,,115,10,10,1
44,5f5b4fdd400b9fbfbe0b8ec3,2020-11-08 23:09:33.878000+00:00,3,3,81,10,22,2
45,5f5cc50bfc7a3450ea06e834,2020-11-09 08:22:21.433000+00:00,1,,113,35,27,70
46,5f5cc50bfc7a3450ea06e834,2020-11-09 08:23:55.389000+00:00,1,,113,35,27,69
47,5f5cc50bfc7a3450ea06e834,2020-11-09 08:25:22.411000+00:00,1,,113,35,27,76
48,5f5cc50bfc7a3450ea06e834,2020-11-12 07:43:38.788000+00:00,1,,113,35,27,99
49,5f5cc50bfc7a3450ea06e834,2020-11-15 13:35:58.935000+00:00,1,,113,35,27,83
50,5f5cc50bfc7a3450ea06e834,2020-11-16 19:04:38.583000+00:00,1,,113,35,27,93
51,5f5cc50bfc7a3450ea06e834,2020-11-18 19:11:41.144000+00:00,1,,113,35,27,59
52,5f5cc50bfc7a3450ea06e834,2020-11-20 15:35:09.475000+00:00,1,,113,35,27,101
53,5f5cc50bfc7a3450ea06e834,2020-11-20 20:58:47.043000+00:00,1,,113,35,27,82
54,5f5cc50bfc7a3450ea06e834,2020-11-23 14:56:05.030000+00:00,1,,113,35,27,102
55,5f5cc50bfc7a3450ea06e834,2020-11-23 15:41:46.430000+00:00,1,,113,35,27,120
56,5f5cc50bfc7a3450ea06e834,2020-11-25 09:23:12.982000+00:00,1,,113,35,27,45
57,5f5cc50bfc7a3450ea06e834,2020-11-26 19:29:50.480000+00:00,1,,113,35,27,119
58,5f5cc50bfc7a3450ea06e834,2020-11-29 06:23:11.748000+00:00,1,,113,35,27,92
59,5f5cc50bfc7a3450ea06e834,2020-11-29 06:23:53.632000+00:00,1,,113,35,27,72
60,5f5cc50bfc7a3450ea06e834,2020-11-30 17:50:46.280000+00:00,1,,113,35,27,55
61,5f5cc50bfc7a3450ea06e834,2020-12-01 17:47:05.427000+00:00,1,,113,35,27,101
62,5f5cc50bfc7a3450ea06e834,2020-12-01 17:47:18.800000+00:00,1,,113,35,27,90
63,5f5cc50bfc7a3450ea06e834,2020-12-04 05:22:47.481000+00:00,1,,113,35,27,57
64,5f5cc50bfc7a3450ea06e834,2020-12-04 20:36:17.359000+00:00,1,,113,35,27,84
65,5f5cc50bfc7a3450ea06e834,2020-12-06 22:23:06.352000+00:00,1,,113,35,27,14
66,5f5cc50bfc7a3450ea06e834,2020-12-07 15:14:16.887000+00:00,1,,113,35,27,75
67,5f5cc50bfc7a3450ea06e834,2020-12-12 21:30:36.813000+00:00,1,,113,35,27,109
68,5f5cc50bfc7a3450ea06e834,2020-12-13 08:52:10.063000+00:00,1,,113,35,27,107
69,5f5cc50bfc7a3450ea06e834,2020-12-13 08:52:36.960000+00:00,1,,113,35,27,99
70,5f5cc50bfc7a3450ea06e834,2020-12-13 17:07:11.020000+00:00,1,,113,35,27,48
71,5f5cc50bfc7a3450ea06e834,2020-12-13 17:07:22.918000+00:00,1,,113,35,27,39
72,5f5cc50bfc7a3450ea06e834,2020-12-19 16:39:52.105000+00:00,1,,113,35,27,39
73,5f5cc50bfc7a3450ea06e834,2020-12-20 17:12:53.116000+00:00,1,,113,35,27,8
74,5f5cc50bfc7a3450ea06e834,2020-12-20 19:54:13.157000+00:00,1,,113,35,27,2
75,5f5cc781fc7a3450ea06e839,2020-11-09 11:39:48.395000+00:00,1,,116,10,12,8
76,5f5cc781fc7a3450ea06e839,2020-11-10 07:55:55.149000+00:00,1,,116,10,12,5
77,5f5cc781fc7a3450ea06e839,2020-11-11 10:36:03.840000+00:00,1,,116,10,12,5
78,5f5cc781fc7a3450ea06e839,2020-11-16 12:05:29.451000+00:00,1,,116,10,12,2
79,5f5cc781fc7a3450ea06e839,2020-11-16 13:02:12.780000+00:00,1,,116,10,12,4
80,5f5cc781fc7a3450ea06e839,2020-11-18 13:00:53.241000+00:00,1,,116,10,12,2
81,5f5cc781fc7a3450ea06e839,2020-11-19 19:28:27.258000+00:00,1,,116,10,12,4
82,5f5cc781fc7a3450ea06e839,2020-11-23 09:06:58.284000+00:00,1,,116,10,12,5
83,5f5cc781fc7a3450ea06e839,2020-11-24 09:38:59.444000+00:00,1,,116,10,12,2
84,5f5cc781fc7a3450ea06e839,2020-11-25 09:11:19.244000+00:00,1,,116,10,12,3
85,5f5cc781fc7a3450ea06e839,2020-11-26 10:01:07.355000+00:00,1,,116,10,12,3
86,5f5cc781fc7a3450ea06e839,2020-11-27 09:18:10.370000+00:00,1,,116,10,12,5
87,5f5cc781fc7a3450ea06e839,2020-11-30 00:51:21.976000+00:00,1,,116,10,12,2
88,5f5cc781fc7a3450ea06e839,2020-12-01 10:30:41.449000+00:00,1,,116,10,12,3
89,5f5cc781fc7a3450ea06e839,2020-12-02 07:51:29.279000+00:00,1,,116,10,12,7
90,5f5cc781fc7a3450ea06e839,2020-12-02 09:10:25.871000+00:00,1,,116,10,12,5
91,5f5cc781fc7a3450ea06e839,2020-12-03 21:20:09.224000+00:00,1,,116,10,12,11
92,5f5cc781fc7a3450ea06e839,2020-12-06 20:32:44.732000+00:00,1,,116,10,12,6
93,5f5cc781fc7a3450ea06e839,2020-12-08 20:26:28.081000+00:00,1,,116,10,12,6
94,5f5cc781fc7a3450ea06e839,2020-12-09 13:19:35.286000+00:00,1,,116,10,12,6
95,5f5cc781fc7a3450ea06e839,2020-12-10 11:37:37.492000+00:00,1,,116,10,12,3
96,5f5cc781fc7a3450ea06e839,2020-12-11 09:21:16.287000+00:00,1,,116,10,12,1
97,5f5cc781fc7a3450ea06e839,2020-12-13 22:53:40.871000+00:00,1,,116,10,12,4
98,5f5cc781fc7a3450ea06e839,2020-12-15 22:45:13.549000+00:00,1,,116,10,12,4
99,5f5cc781fc7a3450ea06e839,2020-12-17 12:10:09.334000+00:00,1,,116,10,12,1
100,5f5cc781fc7a3450ea06e839,2020-12-18 10:32:34.679000+00:00,1,,116,10,12,2
101,5f5bd4928db89350a13a80d8,2020-11-09 12:17:57.249000+00:00,2,,111,12,17,1
102,5f5bd4928db89350a13a80d8,2020-11-10 12:43:11.169000+00:00,2,,111,12,17,1
103,5f5bd4928db89350a13a80d8,2020-11-11 10:29:30.440000+00:00,2,,111,12,17,1
104,5f5bd4928db89350a13a80d8,2020-11-13 11:31:36.976000+00:00,2,,111,12,17,1
105,5f5bd4928db89350a13a80d8,2020-11-16 14:26:33.360000+00:00,2,,111,12,17,1
106,5f5bd4928db89350a13a80d8,2020-11-22 10:35:37.071000+00:00,2,,111,12,17,1
107,5f5bd4928db89350a13a80d8,2020-11-23 17:43:33.179000+00:00,2,,111,12,17,2
108,5f5bd4928db89350a13a80d8,2020-11-30 21:07:19.142000+00:00,2,,111,12,17,1
109,5f5cc55bfc7a3450ea06e835,2020-11-09 16:05:35.221000+00:00,1,,114,10,11,4
110,5f5cc55bfc7a3450ea06e835,2020-11-10 16:07:16.237000+00:00,1,,114,10,11,4
111,5f5cc55bfc7a3450ea06e835,2020-11-11 07:56:26.447000+00:00,1,,114,10,11,12
112,5f5cc55bfc7a3450ea06e835,2020-11-13 10:05:11.737000+00:00,1,,114,10,11,2
113,5f5cc55bfc7a3450ea06e835,2020-11-15 22:47:46.076000+00:00,1,,114,10,11,2
114,5f5cc55bfc7a3450ea06e835,2020-11-16 13:26:20.532000+00:00,1,,114,10,11,11
115,5f5cc55bfc7a3450ea06e835,2020-11-17 14:05:46.245000+00:00,1,,114,10,11,8
116,5f5cc55bfc7a3450ea06e835,2020-11-18 06:47:30.193000+00:00,1,,114,10,11,7
117,5f5cc55bfc7a3450ea06e835,2020-11-18 06:47:54.315000+00:00,1,,114,10,11,5
118,5f5cc55bfc7a3450ea06e835,2020-11-18 06:48:37.754000+00:00,1,,114,10,11,13
119,5f5cc55bfc7a3450ea06e835,2020-11-18 06:49:35.414000+00:00,1,,114,10,11,13
120,5f5cc55bfc7a3450ea06e835,2020-11-18 06:49:53.335000+00:00,1,,114,10,11,11
121,5f5cc55bfc7a3450ea06e835,2020-11-26 07:16:11.872000+00:00,1,,114,10,11,7
122,5f5cc55bfc7a3450ea06e835,2020-11-26 07:16:55.795000+00:00,1,,114,10,11,20
123,5f5cc55bfc7a3450ea06e835,2020-11-26 07:17:17.954000+00:00,1,,114,10,11,14
124,5f5cc55bfc7a3450ea06e835,2020-11-26 07:17:33.804000+00:00,1,,114,10,11,8
125,5f5cc55bfc7a3450ea06e835,2020-11-29 19:06:20.576000+00:00,1,,114,10,11,16
126,5f5cc55bfc7a3450ea06e835,2020-12-03 08:01:15.831000+00:00,1,,114,10,11,7
127,5f5cc55bfc7a3450ea06e835,2020-12-03 18:01:03.652000+00:00,1,,114,10,11,7
128,5f5cc55bfc7a3450ea06e835,2020-12-07 01:17:43.840000+00:00,1,,114,10,11,13
129,5f5cc55bfc7a3450ea06e835,2020-12-09 07:55:05.863000+00:00,1,,114,10,11,15
130,5f5cc55bfc7a3450ea06e835,2020-12-09 09:51:34.981000+00:00,1,,114,10,11,9
131,5f5cc55bfc7a3450ea06e835,2020-12-09 13:16:12.350000+00:00,1,,114,10,11,8
132,5f5cc55bfc7a3450ea06e835,2020-12-13 12:16:44.256000+00:00,1,,114,10,11,14
133,5f5cc55bfc7a3450ea06e835,2020-12-14 07:51:40.861000+00:00,1,,114,10,11,1
134,5f5cc55bfc7a3450ea06e835,2020-12-16 08:01:08.089000+00:00,1,,114,10,11,4
135,5f5cc55bfc7a3450ea06e835,2020-12-17 11:05:56.734000+00:00,1,,114,10,11,8
136,5f5b4fdd400b9fbfbe0b8ebd,2020-11-09 21:07:34.847000+00:00,1,6,51,20,7,8
137,5f5b4fdd400b9fbfbe0b8ebd,2020-11-17 21:56:40.544000+00:00,1,6,51,20,7,1
138,5f5b4fdd400b9fbfbe0b8ebd,2020-12-02 22:06:02.953000+00:00,1,6,51,20,7,1
139,5f5b4fdd400b9fbfbe0b8ebd,2020-12-14 08:20:51.406000+00:00,1,6,51,20,7,5
140,5f5b4fdd400b9fbfbe0b8ebd,2020-12-15 18:59:31.229000+00:00,1,6,51,20,7,5
141,5f5b4fdd400b9fbfbe0b8ebd,2020-12-17 19:47:49.033000+00:00,1,6,51,20,7,9
142,5f5b4fdd400b9fbfbe0b8ee7,2020-11-09 21:56:54.603000+00:00,1,2,32,40,13,2
143,5f5b4fdd400b9fbfbe0b8ee7,2020-11-10 23:01:55.486000+00:00,1,2,32,40,13,2
144,5f5b4fdd400b9fbfbe0b8ee7,2020-11-12 08:17:32.354000+00:00,1,2,32,40,13,0
145,5f5b4fdd400b9fbfbe0b8ee7,2020-11-12 12:56:57.996000+00:00,1,2,32,40,13,4
146,5f5b4fdd400b9fbfbe0b8ee7,2020-11-17 21:56:26.911000+00:00,1,2,32,40,13,1
147,5f5b4fdd400b9fbfbe0b8ee7,2020-11-20 18:18:40.539000+00:00,1,2,32,40,13,1
148,5f5b4fdd400b9fbfbe0b8ee7,2020-11-25 08:05:03.467000+00:00,1,2,32,40,13,4
149,5f5b4fdd400b9fbfbe0b8ee7,2020-11-25 08:05:04.156000+00:00,1,2,32,40,13,1
150,5f5b4fdd400b9fbfbe0b8ee7,2020-12-14 10:51:10.284000+00:00,1,2,32,40,13,1
151,5f5b4fdd400b9fbfbe0b8e9e,2020-11-10 13:11:15.957000+00:00,1,6,46,12,1,2
152,5f5b4fdd400b9fbfbe0b8e9e,2020-11-10 23:22:15.541000+00:00,1,6,46,12,1,0
153,5f5b4fdd400b9fbfbe0b8e9e,2020-11-16 11:07:16.376000+00:00,1,6,46,12,1,5
154,5f5b4fdd400b9fbfbe0b8e9e,2020-11-16 21:48:38.066000+00:00,1,6,46,12,1,3
155,5f5b4fdd400b9fbfbe0b8e9e,2020-11-24 08:58:47.545000+00:00,1,6,46,12,1,3
156,5f5b4fdd400b9fbfbe0b8e9e,2020-12-04 08:54:14.475000+00:00,1,6,46,12,1,0
157,5f5b4fdd400b9fbfbe0b8e9e,2020-12-04 09:14:22.115000+00:00,1,6,46,12,1,1
158,5f5b4fdd400b9fbfbe0b8e9e,2020-12-07 09:03:41.714000+00:00,1,6,46,12,1,1
159,5f5b4fdd400b9fbfbe0b8e9e,2020-12-14 16:53:23.314000+00:00,1,6,46,12,1,1
160,5f5b4fdd400b9fbfbe0b8e9e,2020-12-14 20:59:12.756000+00:00,1,6,46,12,1,3
161,5f5b4fdd400b9fbfbe0b8f05,2020-11-11 13:45:39.787000+00:00,1,7,39,20,1,4
162,5f5b4fdd400b9fbfbe0b8f05,2020-11-12 06:38:57.717000+00:00,1,7,39,20,1,4
163,5f5b4fdd400b9fbfbe0b8f05,2020-11-12 12:49:06.102000+00:00,1,7,39,20,1,0
164,5f5b4fdd400b9fbfbe0b8f05,2020-11-17 19:14:36.717000+00:00,1,7,39,20,1,4
165,5f5b4fdd400b9fbfbe0b8f05,2020-11-18 10:56:52.133000+00:00,1,7,39,20,1,4
166,5f5b4fdd400b9fbfbe0b8f05,2020-11-25 13:10:55.244000+00:00,1,7,39,20,1,4
167,5f5b4fdd400b9fbfbe0b8f05,2020-11-25 13:14:34.244000+00:00,1,7,39,20,1,3
168,5f5cc7f1fc7a3450ea06e83a,2020-11-11 20:10:29.205000+00:00,3,,117,9,16,2
169,5f5cc7f1fc7a3450ea06e83a,2020-11-15 19:08:02.136000+00:00,3,,117,9,16,1
170,5f5cc7f1fc7a3450ea06e83a,2020-11-17 14:31:58.421000+00:00,3,,117,9,16,1
171,5f5cc7f1fc7a3450ea06e83a,2020-11-17 22:08:22.952000+00:00,3,,117,9,16,2
172,5f5cc7f1fc7a3450ea06e83a,2020-11-19 09:08:47.159000+00:00,3,,117,9,16,3
173,5f5cc7f1fc7a3450ea06e83a,2020-11-19 23:42:19.426000+00:00,3,,117,9,16,3
174,5f5cc7f1fc7a3450ea06e83a,2020-11-23 09:37:05.726000+00:00,3,,117,9,16,2
175,5f5cc7f1fc7a3450ea06e83a,2020-11-24 10:11:51.483000+00:00,3,,117,9,16,4
176,5f5cc7f1fc7a3450ea06e83a,2020-11-24 17:39:28.852000+00:00,3,,117,9,16,2
177,5f5cc7f1fc7a3450ea06e83a,2020-11-25 15:07:14.146000+00:00,3,,117,9,16,2
178,5f5cc7f1fc7a3450ea06e83a,2020-11-26 23:31:44.988000+00:00,3,,117,9,16,2
179,5f5cc7f1fc7a3450ea06e83a,2020-12-01 09:35:51.537000+00:00,3,,117,9,16,1
180,5f5cc7f1fc7a3450ea06e83a,2020-12-02 11:21:43.481000+00:00,3,,117,9,16,2
181,5f5cc7f1fc7a3450ea06e83a,2020-12-03 17:02:35.142000+00:00,3,,117,9,16,6
182,5f5cc7f1fc7a3450ea06e83a,2020-12-08 09:37:04.183000+00:00,3,,117,9,16,1
183,5f5cc7f1fc7a3450ea06e83a,2020-12-09 07:33:39.698000+00:00,3,,117,9,16,1
184,5f5cc686fc7a3450ea06e837,2020-11-14 13:34:06.102000+00:00,4,,114,4,9,0
185,5f5cc686fc7a3450ea06e837,2020-11-16 12:02:14.400000+00:00,4,,114,4,9,2
186,5f5cc686fc7a3450ea06e837,2020-12-13 17:32:16.294000+00:00,4,,114,4,9,2
187,5f5cc686fc7a3450ea06e837,2020-12-14 21:28:43.474000+00:00,4,,114,4,9,2
188,5f5cc686fc7a3450ea06e837,2020-12-16 20:31:42.475000+00:00,4,,114,4,9,3
189,5f5cc686fc7a3450ea06e837,2020-12-18 09:34:41.628000+00:00,4,,114,4,9,1
190,5f5b4fdd400b9fbfbe0b8eee,2020-11-24 11:31:47.928000+00:00,2,10,58,31,4,1
191,5f5cc627fc7a3450ea06e836,2020-11-26 17:25:37.632000+00:00,2,,114,3,20,1
192,5f5b4fdd400b9fbfbe0b8efd,2020-12-01 14:13:23.390000+00:00,2,9,67,42,4,2
193,5f5b4fdd400b9fbfbe0b8ef0,2020-12-09 10:06:46.329000+00:00,2,2,30,13,4,1
